party_id	list_order	candidate_name	birth_year	wiki_language	rank	page_title	page_url	page_id	wikidata_id	score	signals	extract	review_status	review_note
respublica	58	Сайдуллаева Нилуфар Пахритдиновна	1988	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	58	Сайдуллаева Нилуфар Пахритдиновна	1988	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	59	Смаилов Нурсултан Сагындыкович	1991	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	59	Смаилов Нурсултан Сагындыкович	1991	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	60	Смолякова Екатерина Сергеевна	1987	ru	1	Смолякова, Екатерина Сергеевна	https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%BE%D0%BB%D1%8F%D0%BA%D0%BE%D0%B2%D0%B0,_%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0	11090989	Q134725109	100	exact-title,name-tokens:3/3,birth-year-match,context:viii,депутат,мажилиса,парламента,созыва	Екатерина Сергеевна Смолякова (род. 2 августа 1987) — казахстанский политик. Депутат Мажилиса Парламента Казахстана VIII созыва (2025—2026).	SUGGESTED	
respublica	60	Смолякова Екатерина Сергеевна	1987	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	61	Солтиев Ернат Бакытжанович	1989	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	61	Солтиев Ернат Бакытжанович	1989	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	62	Суентаев Дамир Серкбаевич	1984	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	62	Суентаев Дамир Серкбаевич	1984	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	63	Сулейменов Ерлан Мельсович	1974	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	63	Сулейменов Ерлан Мельсович	1974	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	64	Сулименко Ирина Юрьевна	1979	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	64	Сулименко Ирина Юрьевна	1979	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	65	Сураган Дурвудхан	1988	ru	1	Сураган, Дурвудхан	https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D0%B0%D0%B3%D0%B0%D0%BD,_%D0%94%D1%83%D1%80%D0%B2%D1%83%D0%B4%D1%85%D0%B0%D0%BD	11199130	Q136816333	100	exact-title,name-tokens:2/2,birth-year-match,context:академик,нан,профессор	Дурвудхан Сураган (каз. Дөрбетхан Сұраған; род. 25 апреля 1988, Баян-Улгий, Монголия) — казахстанский учёный-математик, профессор АОО «Назарбаев Университет», член-корреспондент (2017), академик (2024) Национальной академии наук Казахстана. Ведущий учёный-математик Казахстана. Один из наиболее высоко цитируемых за рубежом казахстанских учёных, общее количество цитирований 1 107 (индекс Хирша — 20) согласно базе данных Scopus. Самый молодой академик в истории НАН РК. Лауреат Государственной премии Республики Казахстана в области науки и техники имени аль-Фараби (2020). Лауреат премии Феррана Суньер-и-Балагера (2018).	SUGGESTED	
respublica	65	Сураган Дурвудхан	1988	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	66	Тау Нургул	1973	ru	1	Тау, Нургул	https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%83,_%D0%9D%D1%83%D1%80%D0%B3%D1%83%D0%BB	11251034	Q136816823	100	exact-title,name-tokens:2/2,birth-year-match,context:депутат,мажилиса	Нургу́л Та́у (в точной транслитерации Нургу́ль Та́у; род. 3 января 1973, Баян-Ульгий, Монголия) — казахстанский государственный деятель, политик и педагог. Депутат Мажилиса Казахстана с 2023 до упразднения Мажилиса в 2026 году.	SUGGESTED	
respublica	66	Тау Нургул	1973	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	67	Темірхан Нұрсұлтан Талғатұлы	1993	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	67	Темірхан Нұрсұлтан Талғатұлы	1993	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	68	Тогизбаева Айдана Кенбаевна	1990	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	68	Тогизбаева Айдана Кенбаевна	1990	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	69	Тулеубаева Анар Абетаевна	1986	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	69	Тулеубаева Анар Абетаевна	1986	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	70	Уразгалиева Зульфия Мергеновна	1982	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	70	Уразгалиева Зульфия Мергеновна	1982	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	71	Утебаев Галымжан Саламатович	1989	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	71	Утебаев Галымжан Саламатович	1989	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	72	Хайруллаев Нуржигит Нурболатович	1980	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	72	Хайруллаев Нуржигит Нурболатович	1980	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	73	Хасенов Махамбет Кабдулкаироич	1975	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	73	Хасенов Махамбет Кабдулкаироич	1975	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	74	Хорошаш Аскар Насибуллович	1974	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	74	Хорошаш Аскар Насибуллович	1974	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
